date,price,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-07-17,1.0,,,,,0.0,0.0,,,,0.0,,,0.0
2010-07-18,0.9998835177635411,,,,,-5.532906231797696e-05,-5.6299747621779694e-05,,,,-9.706853038027319e-07,,,-9.706853038027319e-07
2010-07-19,0.8681637477167723,,,,,-0.0833880727084978,-0.08489091501008506,,,,-0.0015028423015872594,,,-0.0015028423015872594
2010-07-20,0.8029798359657604,,,,,-0.10568154966900101,-0.10872374311292976,,,,-0.0030421934439287535,,,-0.0030421934439287535
2010-07-21,0.8510798323842269,-0.05334155438183308,,,,-0.04365306552761228,-0.04683037655954159,,,,-0.0031773110319293085,0.0096884888542208,0.006511177822291492,-0.0031773110319293085
2010-07-22,0.6011066938863221,-0.22353603165700242,,,,-0.2316844870585345,-0.2387385827202686,,,,-0.007054095661734094,-0.008148455401532084,-0.015202551063266179,-0.007054095661734094
2010-07-23,0.6692095555316787,-0.08929837756527337,,,,-0.13265238898890952,-0.14112316146639092,,,,-0.008470772477481403,-0.04335401142363615,-0.051824783901117555,-0.008470772477481403
2010-07-24,0.5860105297088213,-0.11606675978654069,,,,-0.17854041315351998,-0.18931986854115945,,,,-0.01077945538763947,-0.0624736533669793,-0.07325310875461877,-0.01077945538763947
2010-07-25,0.5426023423229828,-0.10739944844382376,,,,-0.1863469597371007,-0.1994589054192406,,,,-0.013111945682139914,-0.07894751129327693,-0.09205945697541684,-0.013111945682139914
2010-07-26,0.6016976469324165,0.0015722932559719682,-0.15057572328883584,,,-0.10808865847992999,-0.12175761079608394,,,,-0.013668952316153948,-0.10966095173590196,-0.1233299040520559,-0.013668952316153948
2010-07-27,0.6430046679321418,0.034499719446533406,-0.07356916908232458,,,-0.05725237697081054,-0.0704657710201031,,,,-0.01321339404929256,-0.09175209641734394,-0.1049654904666365,-0.01321339404929256
2010-07-28,0.6328569893628452,0.031622554111003454,-0.04701419481155167,,,-0.05821827034574467,-0.07117113353087723,,,,-0.012952863185132557,-0.08984082445674813,-0.10279368764188068,-0.012952863185132557
2010-07-29,0.7435263779950576,0.11078877308596868,0.07611893079283216,,,0.04558715355197707,0.035103046132682225,,,,-0.010484107419294841,-0.06520161953399162,-0.07568572695328646,-0.010484107419294841
2010-07-30,0.6906987572078364,0.028341869321776736,0.034519417881403336,,,-0.006325545455289627,-0.015840360061737946,,,,-0.009514814606448319,-0.03466741477706636,-0.04418222938351468,-0.009514814606448319
2010-07-31,0.7290211668636509,0.04119957499134441,0.08504769408927548,,,0.028075710840982482,0.02018795858880751,,,,-0.007887752252174973,-0.01312386415036193,-0.021011616402536903,-0.007887752252174973
2010-08-01,0.6564951112066187,-0.034024569320583065,0.006982796700213623,,,-0.03914785250626418,-0.047190623214103944,,,,-0.008042770707839764,-0.005123283185681116,-0.01316605389352088,-0.008042770707839764
